"Дата","Область","Місто","Значення 1","Значення 2","Значення 3","Значення 4","Значення 5","Значення 6","Значення 7","Значення 8","Значення 9","Значення 10","long","lat"
"31.03.2024","Одеська","Одеса","1","0","0","1","0","0","0","1","0","0","30,7306393","46,4702111"
"31.03.2024","Одеська","Одеса","1","0","0","1","0","0","0","0","0","0","30,7306393","46,4702111"
"01.04.2024","Харківська","Люботин","1","0","1","0","0","0","0","0","1","1","35,9407539","49,9511113"
"01.04.2024","Харківська","Люботин","0","0","0","0","0","0","0","0","1","0","35,9407539","49,9511113"
"01.04.2024","Харківська","Чугуїв","1","0","0","1","0","0","0","0","1","0","36,6813122","49,8363158"
"01.04.2024","Дніпропетровська","Кривий Ріг","1","1","0","0","0","0","1","1","1","0","33,391783","47,910483"
"02.04.2024","Дніпропетровська","Дніпро","1","1","0","0","0","0","1","0","1","0","35,046183","48,464717"
"02.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","1","0","35,046183","48,464717"
"02.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","1","0","35,046183","48,464717"
"02.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"02.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"02.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"02.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"02.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"02.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"02.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"02.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"02.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"02.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"02.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"02.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"02.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"02.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"02.04.2024","Дніпропетровська","Дніпро","0","0","0","0","0","0","1","0","0","0","35,046183","48,464717"
"02.04.2024","Кіровоградська","Кропивницький","1","0","0","1","0","0","0","1","0","0","32,2641984","48,5070977"
"03.04.2024","Сумська","Краснопілля","1","0","1","0","0","0","0","0","1","0","35,267666","50,7671084"
"04.04.2024","Харківська","Харків","1","0","0","1","0","1","1","0","1","0","36,3073994","50,0020127"
"04.04.2024","Харківська","Харків","1","0","0","1","0","1","1","0","0","0","36,3073994","50,0020127"
"04.04.2024","Харківська","Харків","1","0","0","1","0","1","1","0","0","0","36,3073994","50,0020127"
"04.04.2024","Харківська","Харків","1","0","0","1","0","1","1","0","0","0","36,3073994","50,0020127"
"04.04.2024","Харківська","Харків","1","0","0","1","0","0","1","0","0","0","36,3073994","50,0020127"
"04.04.2024","Харківська","Харків","1","0","0","1","0","0","1","0","0","0","36,3073994","50,0020127"
"04.04.2024","Харківська","Харків","1","0","0","1","0","0","1","0","0","0","36,3073994","50,0020127"
"04.04.2024","Харківська","Харків","1","0","0","1","0","0","1","0","0","0","36,3073994","50,0020127"
"04.04.2024","Харківська","Харків","1","0","0","1","0","0","1","0","0","0","36,3073994","50,0020127"
"04.04.2024","Харківська","Харків","0","0","0","0","0","0","1","0","0","0","36,3073994","50,0020127"
"04.04.2024","Харківська","Харків","0","0","0","0","0","0","1","0","0","0","36,3073994","50,0020127"
"04.04.2024","Харківська","Харків","0","0","0","0","0","0","1","0","0","0","36,3073994","50,0020127"
"05.04.2024","Харківська","Харків","1","0","1","0","0","0","0","0","1","1","36,3073994","50,0020127"
"05.04.2024","Харківська","Харків","1","0","1","0","0","0","0","0","0","0","36,3073994","50,0020127"
"05.04.2024","Запорізька","Запоріжжя","1","0","1","0","0","1","1","0","1","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","1","0","1","0","0","1","1","0","1","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","1","0","1","0","0","1","1","0","1","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","1","0","1","0","0","1","1","0","1","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","1","0","1","0","0","0","1","0","1","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"05.04.2024","Запорізька","Запоріжжя","0","0","0","0","0","0","1","0","0","0","35,1387097","47,8392842"
"06.04.2024","Харківська","Харків","1","0","0","1","0","1","1","0","1","0","36,3073994","50,0020127"
"06.04.2024","Харківська","Харків","1","0","0","1","0","1","1","0","0","0","36,3073994","50,0020127"
"06.04.2024","Харківська","Харків","1","0","0","1","0","1","1","0","0","0","36,3073994","50,0020127"
"06.04.2024","Харківська","Харків","1","0","0","1","0","1","1","0","0","0","36,3073994","50,0020127"
"06.04.2024","Харківська","Харків","0","0","0","0","0","1","1","0","0","0","36,3073994","50,0020127"
"06.04.2024","Харківська","Харків","0","0","0","0","0","1","1","0","0","0","36,3073994","50,0020127"
"06.04.2024","Харківська","Харків","0","0","0","0","0","1","1","0","0","0","36,3073994","50,0020127"
"06.04.2024","Харківська","Харків","0","0","0","0","0","0","1","0","0","0","36,3073994","50,0020127"
"06.04.2024","Харківська","Харків","0","0","0","0","0","0","1","0","0","0","36,3073994","50,0020127"
"06.04.2024","Харківська","Харків","0","0","0","0","0","0","1","0","0","0","36,3073994","50,0020127"
"06.04.2024","Харківська","Харків","0","0","0","0","0","0","1","0","0","0","36,3073994","50,0020127"
"06.04.2024","Донецька","Слов'янськ","1","1","0","0","0","0","0","0","1","0","37,6053","48,8532"
"06.04.2024","Донецька","Слов'янськ","1","1","0","0","0","0","0","0","1","0","37,6053","48,8532"
"07.04.2024","Харківська","Харків","1","0","1","1","0","0","1","0","1","0","36,3073994","50,0020127"
"07.04.2024","Харківська","Харків","1","0","0","0","0","0","1","0","0","0","36,3073994","50,0020127"
"07.04.2024","Харківська","Харків","0","0","0","0","0","0","1","0","0","0","36,3073994","50,0020127"
"07.04.2024","Одеська","Одеса","1","1","1","0","0","0","1","0","1","0","30,7306393","46,4702111"
"07.04.2024","Одеська","Одеса","1","0","0","0","0","0","0","0","0","0","30,7306393","46,4702111"
"08.04.2024","Одеська","Одеса","1","0","0","1","0","0","0","0","1","0","30,7306393","46,4702111"
"08.04.2024","Одеська","Одеса","1","0","0","1","0","0","0","0","0","0","30,7306393","46,4702111"
"09.04.2024","Львівська","Стрий","1","1","0","1","0","0","0","0","1","0","23,8431343","49,2656076"
"09.04.2024","Львівська","Стрий","1","1","0","1","0","0","0","0","0","0","23,8431343","49,2656076"
"09.04.2024","Львівська","Стрий","1","0","0","1","0","0","0","0","0","0","23,8431343","49,2656076"
"09.04.2024","Львівська","Стрий","1","0","0","1","0","0","0","0","0","0","23,8431343","49,2656076"
"09.04.2024","Львівська","Стрий","1","0","0","0","0","0","0","0","0","0","23,8431343","49,2656076"
"09.04.2024","Львівська","Стрий","1","0","0","0","0","0","0","0","0","0","23,8431343","49,2656076"
"09.04.2024","Сумська","Охтирка","1","0","1","0","0","0","0","0","1","0","34,9005644","50,3150962"
"09.04.2024","Сумська","Охтирка","1","0","1","0","0","0","0","0","0","0","34,9005644","50,3150962"
"10.04.2024","Одеська","Чорноморськ","1","1","0","0","0","0","1","0","1","0","30,6480855","46,2952236"
"10.04.2024","Одеська","Чорноморськ","0","0","0","0","0","0","1","0","0","0","30,6480855","46,2952236"
"10.04.2024","Миколаївська","Миколаїв","1","0","0","1","0","0","0","0","1","0","32,003246","46,9660801"
"10.04.2024","Одеська","Одеса","1","0","1","1","0","1","1","0","1","0","30,7306393","46,4702111"
